,Name,Calories,Carbs,Fats,Proteins,Fiber,Cholestrol,Sugar
129,Traditional Indian Roti,130,20.0,4.0,4.0,1.0,0,1
130,Red Curry,50,4.0,4.5,1.0,1.0,0,0
131,Chapati,70,12.0,1.0,3.0,1.0,0,1
132,Bombay Aloo,140,13.0,8.0,3.0,3.0,0,0
133,Indian Cheese,90,0.5,8.0,6.0,0.0,0,0
134,Kettlecorn,130,21.0,5.0,1.0,2.0,0,5
135,Spinach Wrap,290,46.0,7.0,6.0,2.0,25.0,0
136,Indian-Inspired Lentil Soup,240,19.0,16.0,6.0,6.0,0,9.0
137,Kettlecorn,130,21.0,5.0,1.0,2.0,0,2
138,"Pakoras, Mixed Vegetables",110,16.0,4.5,3.0,2.0,55.0,5.0
139,Indian Tonic Water,80,20.0,0.0,0.0,0.0,0,6
140,Masala Chickpea Wrap,670,118.0,17.0,26.0,12.0,0,3
141,Spicy Chevdo,140,12.0,9.0,4.0,2.0,0,19
142,Kettlecorn,130,21.0,5.0,1.0,2.0,0,13
143,Spinach Naan,200,46.0,5.0,7.0,2.0,0,3
144,Chatpate Choley,200,25.0,8.0,7.0,2.0,0,9.0
145,"Lentil, Indian Style",160,30.0,3.0,7.0,8.0,0,2
146,Soft Roti,130,20.0,4.0,3.0,3.0,0,0
147,Indian Soup,94,14.0,3.0,3.0,1.5,0,9
148,"Popcorn, Ranch",160,13.0,11.0,3.0,2.0,0,0
149,Indian Basmati Rice,349,78.5,0.8,7.0,2.4,0,5.5
150,Indian Mattar Paneer,370,49.0,13.0,13.0,5.0,0,2
151,"Indian Noodles, Masala",370,53.0,16.0,9.0,3.0,0,0
152,"Kasmati, Rice, Indian-Style Basmati",150,34.0,0.5,3.0,0.0,20.0,8
153,"Amy's, Indian, Vegetable Korma",309,41.0,12.0,9.0,7.0,0,4
154,"Amy's, Mattar Paneer, Indian",369,54.0,11.0,13.0,6.0,25,13
155,Indian Style Basmati Rice,150,34.0,0.5,3.0,0.0,0,27
156,"Amy's, Indian Mattar Paneer",369,54.0,11.0,13.0,6.0,0,0
157,Chicken Tikka Masala Seasoning Mix,15,3.0,0.0,0.0,0.0,0,1
158,Naan,160,24.0,4.5,4.0,2.0,0,6
159,Indian Beans,104,16.0,0.0,0.0,2.0,0,0
160,Samosa Chips,100,12.0,5.0,2.0,0.0,0,22
161,Kettle Corn,130,21.0,5.0,1.0,2.0,0,27
162,Dal Mix,100,13.0,3.0,5.0,3.0,0,0
163,Tortilla,290,48.0,7.0,6.0,2.0,0,2
164,Dal Mix,100,13.0,3.0,5.0,3.0,0,24
165,"Chicken & Vegetables, Indian-Spiced",440,47.0,12.0,45.0,8.0,0,24
166,"Indian Snacks, Moorukulu",536,43.2,33.6,15.1,1.8,0,6.0
167,Masala Chips,120,11.0,8.0,2.0,1.0,10.0,10.0
168,Masala Wrap,290,47.0,7.0,6.0,2.0,0,11.0
169,Cheddar Popcorn,150,14.0,9.0,3.0,2.0,0,2
170,Indian Soup,80,16.0,0.5,5.0,4.0,0,1
171,Corn Meal,100,24.0,0.5,2.0,0.5,3.5,1.5
172,Indian Curry,320,52.0,9.0,9.0,3.0,0,0
173,Masala Chips,180,15.0,12.0,3.0,1.0,15,6
174,Multigrain Pita Bread,210,38.0,2.5,7.0,6.0,20,8
175,Bhatura,230,32.0,9.0,5.0,5.0,3,0
176,Indian Snacks,260,26.0,16.0,4.0,1.0,0,0
177,South Indian Snacks,130,17.0,6.0,3.0,0.0,0,0
178,Indian Fare,160,11.0,12.0,5.0,5.0,0,7.0
179,Indian Lentil Soup,170,25.0,4.0,10.0,5.0,0,8.0
180,"Pumpkin Seeds, Salted",36,1.0,3.0,2.0,0.0,0,0
181,South Indian Snacks,135,14.0,7.0,3.0,1.0,0,8.0
182,Dal Makhani,180,20.0,8.0,7.0,3.0,0,0
183,Paneer Indian Cheese,90,0.5,8.0,6.0,0.0,0,1
184,Brown Rice,100,22.0,0.0,2.0,0.0,0,0
185,Garlic Naan,270,49.0,6.0,7.0,2.0,0,0
186,Indian Tikka Masala,130,10.0,10.0,3.0,1.0,0,6
187,Indian Mackerel,180,0.0,9.0,23.0,0.0,0,1
188,Indian Daal Veg Pot,319,36.9,9.9,10.6,20.1,0,2
